,valami,company,company_link,reg_number,country,zip,city,loc_address,loc_name,lat,lng,lat1.1,lng1.1,news,type,icon,tax_number,T1 OL,T1_link,T2 OL,T2_link,T3 OL,T3_link,T1 CO,T2 CO,T3 CO,IT1,IT1_link,IT2,IT2_link,IT3,IT3_link,IT4,IT4_link,IT5,IT5_link,date,details,details_en
x,0,Hotel Rum Kft.,,01-09-174670,HU,1053,Budapest,Királyi Pál utca 4.,Hotel Rum,47.490516,19.059071,47.490516,19.059071,,szálloda,hotel,24389666241,Csokonyay Zoltán,,!!! Lefkovics György,https://k-monitor.hu/adatbazis/cimkek/lefkovics-gyorgy,Lefkovicsné Kolos Ágnes,,Október 6. Invest Kft.,,,Lefkovics Szonja,,,,,,,,,,07/30/2019,"Több, Lefkovicshoz kötődő cég is bérlői kedvezménnyel vett ingatlanokat az akkor még Rogán Antal vezette V. kerületi önkormányzattól.",
x,1,Vassily Kft.,,13-09-128436,HU,2700,Cegléd,Kossuth tér 9-10.,Szindbád Étterem - Borozó,47.170249,19.796266,47.170249,19.796266,https://24.hu/belfold/2018/01/23/nyomozast-inditott-a-rendorseg-a-kormanyparti-kepviselo-ugyeben-aki-kozpenzbol-nyitott-borozot/,bár,,14747634213,!!! Varga Zoltán Ernő,https://k-monitor.hu/adatbazis/cimkek/varga-zoltan-erno,Varga Ernő,https://k-monitor.hu/adatbazis/cimkek/varga-erno,,,,,,!!! Varga Zoltán Ernő,https://k-monitor.hu/adatbazis/cimkek/varga-zoltan-erno,,,,,,,,,07/30/2019,,
x,1,Kányaváry Borbirtok Kft.,,,HU,8743,Zalaszabar,Hrsz. 1565,Kányaváry Borbirtok,46.640515,17.102105,46.640515,17.102105,https://24.hu/belfold/2019/02/01/ner-milliardosok-fejleszthetik-a-hoteleiket-allami-penzbol/,borászat,,25366802220,!!! Szabadics Zoltán,https://k-monitor.hu/adatbazis/cimkek/szabadics-zoltan,Szabadicsné Rádi Éva,,,,,,,!!! Szabadics Zoltán,https://k-monitor.hu/adatbazis/cimkek/szabadics-zoltan,Szabadicsné Rádi Éva,,,,,,,,05/30/2020,"Szabadics Zoltán nem csupán a Kisfaludy-programból kapott támogatásokat, de építőipari cége is sikeresen teljesít a közbeszerzés piacon.",
x,1,Kelet-Gastro Kft.,,15-09-079230,HU,4400,Nyíregyháza,Luther utca 5.,Chloé New Yorkban,47.953578,21.717448,47.953578,21.717448,https://hvg.hu/gazdasag/201932__sesztakne_apartmanja__sesztak_stalluma__kisvardai_kiskiralysag__csaladi_korkoros_gazdasag,étterem,restaurant,23905401215,!!! Horváth Ágnes,https://k-monitor.hu/adatbazis/cimkek/horvath-agnes,,,,,,,,!!! Horváth Ágnes,https://k-monitor.hu/adatbazis/cimkek/horvath-agnes,,,,,,,,,08/13/2019,,
x,1,Buno Kft.,https://k-monitor.hu/adatbazis/cimkek/buno-kft,01-09-691989,HU,1051,Budapest,Erzsébet tér 7-8.,Nobu,47.497303,19.051996,47.497303,19.051996,https://www.vg.hu/velemeny/vajnanak-bejott-a-nobu-331654/,étterem,restaurant,12547153241,Ráthonyi Zoltán,https://k-monitor.hu/adatbazis/cimkek/rathonyi-zoltan,Ráthonyi Zoltánné,,,,AV Investments Kft.,Alaszka 2000 Kft.,,!!! Vajna Tímea,https://k-monitor.hu/adatbazis/cimkek/vajna-timea,Kovács Andrea Mária,https://k-monitor.hu/adatbazis/cimkek/kovacs-andrea-maria,,,,,,,05/20/2020,,
x,1,Gaszting Kft.,https://k-monitor.hu/adatbazis/cimkek/gaszting-kft,,HU,3300,Eger,Kistályai út 18.,Agria Étterem,47.869416,20.403553,47.869416,20.403553,,étterem,restaurant,12685240210,!!! Bóta József Sándor,https://k-monitor.hu/adatbazis/cimkek/bota-jozsef,Bóta József Sándorné,,,,,,,Bóta József Sándorné,,,,,,,,,,09/04/2019,,
x,1,Thermal Hotel Visegrád Zrt.,https://k-monitor.hu/adatbazis/cimkek/thermal-hotel-visegrad,,HU,2025,Visegrád,Lepence völgy 2.,Thermal Hotel Visegrád,47.764386,18.953078,47.764386,18.953078,,fürdő,bath,12565317213,!!! Dunai György Sándor,https://k-monitor.hu/adatbazis/cimkek/dunai-gyorgy,,,,,DBI Kft.,,,Nádas Gábor,,Nagy-Bándli Zsófia,,Kertész Tímea,,Hága Péter,,,,07/30/2019,,
x,1,Vaperty Investment Zrt.,https://k-monitor.hu/adatbazis/cimkek/vaperty-investment-zrt,19-10-500342,HU,8242,Balatonudvari,Vászolyi út,Balaton Golf Club,46.909005,17.801322,46.909005,17.801322,https://24.hu/belfold/2017/11/22/orban-fo-vagyonkezeloje-sejlik-fel-a-balatoni-golfpalya-megszerzese-mogott/,sport,,25828229219,!!! Vagács András József,https://k-monitor.hu/adatbazis/cimkek/vagacs-andras,,,,,,,,!!! Vagács András József,https://k-monitor.hu/adatbazis/cimkek/vagacs-andras,,,,,,,,,07/30/2019,,
x,1,Kelet-Rest Kft.,https://k-monitor.hu/adatbazis/cimkek/kelet-rest-kft,15-09-067593,HU,4431,Nyíregyháza,Tölgyes utca 21./b,Siesta Panzió,48.004086,21.715071,48.004086,21.715071,,szálloda,hotel,12832277215,!!! Mikucza László Zsolt,https://k-monitor.hu/adatbazis/cimkek/mikucza-laszlo-zsolt,Drágár Péter,,,,,,,Drágár Péter,,,,,,,,,,08/13/2019,,
x,1,Bambara Hotel Kft.,https://k-monitor.hu/adatbazis/cimkek/bambara-kft,,HU,3324,Felsőtárkány,Bükkerdő sétány 2-4.,Bambara Hotel,47.976798,20.434451,47.976798,20.434451,https://24.hu/belfold/2019/02/01/ner-milliardosok-fejleszthetik-a-hoteleiket-allami-penzbol/,szálloda,hotel,26573685241,!!! Szepesi Richárd József,https://k-monitor.hu/adatbazis/cimkek/szepesi-richard,Bonnyai Péter,https://k-monitor.hu/adatbazis/cimkek/bonnyai-peter,,,Tematikus Szállodaüzemeltető Kft.,,,Bonnyai Péter,https://k-monitor.hu/adatbazis/cimkek/bonnyai-peter,Bialkó Kinga,,Smuczer Zsolt,,,,,,07/30/2019,"Az üzemeltető tulajdonosa, Szepesi Richárd cégei milliárdos támogatásokat kapott a Kisfaludy-programból.",
